TIME,GEN_BUS1,GEN_BUS2,GEN_BUS3
0,143.3,187.3,166.2
0.01,143.3,187.3,166.2
0.02,143.3,187.3,166.2
0.03,143.3,187.3,166.2
0.04,143.3,187.3,166.2
0.05,143.3,187.3,166.2
0.06,143.3,187.3,166.2
0.07,143.3,187.3,166.2
0.08,143.3,187.3,166.2
0.09,143.3,187.3,166.2
0.1,143.3,187.3,166.2
0.11,143.3,187.3,166.2
0.12,143.3,187.3,166.2
0.13,143.3,187.3,166.2
0.14,143.3,187.3,166.2
0.15,143.3,187.3,166.2
0.16,143.3,187.3,166.2
0.17,143.3,187.3,166.2
0.18,143.3,187.3,166.2
0.19,143.3,187.3,166.2
0.2,143.3,187.3,166.2
0.21,143.3,187.3,166.2
0.22,143.3,187.3,166.2
0.23,143.3,187.3,166.2
0.24,143.3,187.3,166.2
0.25,143.3,187.3,166.2
0.26,143.3,187.3,166.2
0.27,143.3,187.3,166.2
0.28,143.3,187.3,166.2
0.29,143.3,187.3,166.2
0.3,143.3,187.3,166.2
0.31,143.3,187.3,166.2
0.32,143.3,187.3,166.2
0.33,143.3,187.3,166.2
0.34,143.3,187.3,166.2
0.35,143.3,187.3,166.2
0.36,143.3,187.3,166.2
0.37,143.3,187.3,166.2
0.38,143.3,187.3,166.2
0.39,143.3,187.3,166.2
0.4,143.3,187.3,166.2
0.41,143.3,187.3,166.2
0.42,143.3,187.3,166.2
0.43,143.3,187.3,166.2
0.44,143.3,187.3,166.2
0.45,143.3,187.3,166.2
0.46,143.3,187.3,166.2
0.47,143.3,187.3,166.2
0.48,143.3,187.3,166.2
0.49,143.3,187.3,166.2
0.5,143.3,187.3,166.2
0.5,143.3,187.3,166.2
0.51,143.3,187.3,166.2
0.52,143.3,187.3,166.2
0.53,143.3,187.3,166.2
0.54,143.3,187.3,166.2
0.55,143.3,187.3,166.2
0.56,143.3,187.3,166.2
0.57,143.3,187.3,166.2
0.58,143.3,187.3,166.2
0.59,143.3,187.3,166.2
0.6,143.3,187.3,166.2
0.61,143.3,187.3,166.2
0.62,143.3,187.3,166.2
0.63,143.2,187.4,166.2
0.64,143.2,187.4,166.2
0.65,143.2,187.4,166.2
0.66,143.2,187.4,166.1
0.67,143.2,187.4,166.1
0.68,143.2,187.5,166.1
0.69,143.2,187.5,166.1
0.7,143.1,187.6,166.1
0.71,143.1,187.6,166
0.72,143.1,187.7,166
0.73,143,187.7,166
0.74,143,187.8,165.9
0.75,143,187.9,165.9
0.76,142.9,188,165.9
0.77,142.9,188.1,165.8
0.78,142.8,188.1,165.8
0.79,142.8,188.2,165.7
0.8,142.7,188.4,165.7
0.81,142.7,188.5,165.6
0.82,142.6,188.6,165.6
0.83,142.5,188.7,165.5
0.84,142.5,188.8,165.4
0.85,142.4,189,165.4
0.86,142.3,189.1,165.3
0.87,142.2,189.3,165.2
0.88,142.1,189.4,165.2
0.89,142.1,189.6,165.1
0.9,142,189.7,165
0.91,141.9,189.9,165
0.92,141.8,190,164.9
0.93,141.7,190.2,164.8
0.94,141.6,190.4,164.7
0.95,141.5,190.5,164.7
0.96,141.4,190.7,164.6
0.97,141.3,190.9,164.5
0.98,141.2,191,164.5
0.99,141.1,191.2,164.4
1,141,191.4,164.3
1.01,140.9,191.5,164.2
1.02,140.8,191.7,164.2
1.03,140.7,191.9,164.1
1.04,140.6,192.1,164
1.05,140.5,192.2,164
1.06,140.4,192.4,163.9
1.07,140.3,192.5,163.8
1.08,140.2,192.7,163.8
1.09,140.1,192.9,163.7
1.1,140,193,163.7
1.11,139.9,193.2,163.6
1.12,139.8,193.3,163.5
1.13,139.7,193.5,163.5
1.14,139.6,193.6,163.4
1.15,139.5,193.8,163.4
1.16,139.4,193.9,163.3
1.17,139.3,194.1,163.3
1.18,139.2,194.2,163.2
1.19,139.1,194.4,163.2
1.2,139.1,194.5,163.1
1.21,139,194.7,163
1.22,138.9,194.8,163
1.23,138.8,194.9,162.9
1.24,138.7,195.1,162.9
1.25,138.6,195.2,162.8
1.26,138.5,195.4,162.8
1.27,138.5,195.5,162.7
1.28,138.4,195.6,162.7
1.29,138.3,195.8,162.6
1.3,138.2,195.9,162.6
1.31,138.1,196.1,162.5
1.32,138,196.2,162.5
1.33,137.9,196.3,162.4
1.34,137.8,196.5,162.3
1.35,137.8,196.6,162.3
1.36,137.7,196.8,162.2
1.37,137.6,196.9,162.2
1.38,137.5,197.1,162.1
1.39,137.4,197.2,162
1.4,137.3,197.4,162
1.41,137.2,197.5,161.9
1.42,137.1,197.7,161.8
1.43,137,197.9,161.8
1.44,136.9,198,161.7
1.45,136.8,198.2,161.7
1.46,136.7,198.3,161.6
1.47,136.6,198.5,161.5
1.48,136.5,198.7,161.5
1.49,136.4,198.8,161.4
1.5,136.3,199,161.3
1.51,136.2,199.2,161.3
1.52,136.1,199.3,161.2
1.53,136,199.5,161.1
1.54,135.9,199.7,161.1
1.55,135.8,199.8,161
1.56,135.7,200,161
1.57,135.6,200.2,160.9
1.58,135.4,200.3,160.8
1.59,135.3,200.5,160.8
1.6,135.2,200.7,160.7
1.61,135.1,200.9,160.7
1.62,135,201,160.6
1.63,134.9,201.2,160.5
1.64,134.8,201.3,160.5
1.65,134.7,201.5,160.4
1.66,134.6,201.7,160.4
1.67,134.5,201.8,160.3
1.68,134.3,202,160.3
1.69,134.2,202.1,160.2
1.7,134.1,202.3,160.2
1.71,134,202.5,160.1
1.72,133.9,202.6,160.1
1.73,133.8,202.8,160
1.74,133.7,202.9,160
1.75,133.6,203.1,159.9
1.76,133.5,203.2,159.9
1.77,133.4,203.4,159.8
1.78,133.3,203.5,159.8
1.79,133.2,203.6,159.7
1.8,133.1,203.8,159.7
1.81,133.1,203.9,159.6
1.82,133,204.1,159.6
1.83,132.9,204.2,159.5
1.84,132.8,204.3,159.5
1.85,132.7,204.5,159.4
1.86,132.6,204.6,159.4
1.87,132.5,204.7,159.3
1.88,132.4,204.9,159.3
1.89,132.4,205,159.2
1.9,132.3,205.1,159.2
1.91,132.2,205.3,159.1
1.92,132.1,205.4,159.1
1.93,132,205.5,159
1.94,132,205.6,159
1.95,131.9,205.8,158.9
1.96,131.8,205.9,158.9
1.97,131.7,206,158.8
1.98,131.6,206.1,158.8
1.99,131.6,206.3,158.7
2,131.5,206.4,158.7
2.01,131.4,206.5,158.6
2.02,131.3,206.6,158.6
2.03,131.3,206.8,158.5
2.04,131.2,206.9,158.5
2.05,131.1,207,158.4
2.06,131,207.1,158.4
2.07,131,207.3,158.3
2.08,130.9,207.4,158.3
2.09,130.8,207.5,158.2
2.1,130.8,207.6,158.2
2.11,130.7,207.8,158.1
2.12,130.6,207.9,158.1
2.13,130.5,208,158
2.14,130.5,208.1,158
2.15,130.4,208.2,157.9
2.16,130.3,208.4,157.9
2.17,130.2,208.5,157.8
2.18,130.2,208.6,157.7
2.19,130.1,208.7,157.7
2.2,130,208.8,157.6
2.21,130,208.9,157.6
2.22,129.9,209.1,157.5
2.23,129.8,209.2,157.5
2.24,129.8,209.3,157.4
2.25,129.7,209.4,157.4
2.26,129.6,209.5,157.3
2.27,129.6,209.6,157.3
2.28,129.5,209.7,157.2
2.29,129.5,209.8,157.2
2.3,129.4,209.9,157.2
2.31,129.3,210,157.1
2.32,129.3,210.1,157.1
2.33,129.2,210.2,157
2.34,129.2,210.3,157
2.35,129.1,210.4,156.9
