TIME,GEN1,GEN2,GEN3
-0.02,0,0,0
-0.01,0,0,0
0,0,0,0
0.01,0,0,0
0.02,0,0,0
0.03,0,0,0
0.04,0,0,0
0.05,0,0,0
0.06,0,0,0
0.07,0,0,0
0.08,0,0,0
0.09,0,0,0
0.1,0,0,0
0.11,0,0,0
0.12,0,0,0
0.13,0,0,0
0.14,0,0,0
0.15,0,0,0
0.16,0,0,0
0.17,0,0,0
0.18,0,0,0
0.19,0,0,0
0.2,0,0,0
0.21,0,0,0
0.22,0,0,0
0.23,0,0,0
0.24,0,0,0
0.25,0,0,0
0.26,0,0,0
0.27,0,0,0
0.28,0,0,0
0.29,0,0,0
0.3,0,0,0
0.31,0,0,0
0.32,0,0,0
0.33,0,0,0
0.34,0,0,0
0.35,0,0,0
0.36,0,0,0
0.37,0,0,0
0.38,0,0,0
0.39,0,0,0
0.4,0,0,0
0.41,0,0,0
0.42,0,0,0
0.43,0,0,0
0.44,0,0,0
0.45,0,0,0
0.46,0,0,0
0.47,0,0,0
0.48,0,0,0
0.49,0,0,0
0.5,0,0,0
0.5,0,0,0
0.51,0,0,0
0.52,-0.001,0.001,0
0.53,-0.001,0.001,0
0.54,-0.001,0.001,0
0.55,-0.001,0.001,0.001
0.56,-0.002,0.002,0.001
0.57,-0.002,0.002,0.001
0.58,-0.002,0.002,0.001
0.59,-0.002,0.002,0.001
0.6,-0.002,0.003,0.001
0.61,-0.002,0.003,0.001
0.62,-0.003,0.003,0.001
0.63,-0.003,0.003,0.001
0.64,-0.003,0.003,0.001
0.65,-0.003,0.004,0.001
0.66,-0.003,0.004,0.001
0.67,-0.003,0.004,0.001
0.68,-0.003,0.004,0.002
0.69,-0.003,0.004,0.002
0.7,-0.003,0.004,0.002
0.71,-0.003,0.004,0.002
0.72,-0.002,0.004,0.002
0.73,-0.002,0.004,0.002
0.74,-0.002,0.004,0.002
0.75,-0.002,0.004,0.002
0.76,-0.002,0.004,0.002
0.77,-0.002,0.004,0.002
0.78,-0.001,0.004,0.002
0.79,-0.001,0.004,0.002
0.8,-0.001,0.004,0.002
0.81,-0.001,0.004,0.002
0.82,0,0.004,0.002
0.83,0,0.004,0.002
0.84,0,0.004,0.002
0.85,0,0.004,0.002
0.86,0.001,0.004,0.002
0.87,0.001,0.003,0.002
0.88,0.001,0.003,0.002
0.89,0.002,0.003,0.002
0.9,0.002,0.003,0.002
0.91,0.002,0.003,0.002
0.92,0.003,0.003,0.002
0.93,0.003,0.003,0.002
0.94,0.003,0.003,0.002
0.95,0.003,0.002,0.002
0.96,0.004,0.002,0.003
0.97,0.004,0.002,0.003
0.98,0.004,0.002,0.003
0.99,0.004,0.002,0.003
1,0.005,0.002,0.003
1.01,0.005,0.002,0.003
1.02,0.005,0.002,0.003
1.03,0.005,0.002,0.003
1.04,0.005,0.002,0.003
1.05,0.005,0.001,0.003
1.06,0.005,0.001,0.003
1.07,0.006,0.001,0.003
1.08,0.006,0.001,0.003
1.09,0.006,0.001,0.003
1.1,0.006,0.001,0.003
1.11,0.006,0.001,0.003
1.12,0.006,0.001,0.003
1.13,0.006,0.001,0.003
1.14,0.006,0.001,0.003
1.15,0.006,0.001,0.003
1.16,0.006,0.001,0.003
1.17,0.006,0.001,0.003
1.18,0.006,0.001,0.003
1.19,0.005,0.002,0.003
1.2,0.005,0.002,0.003
1.21,0.005,0.002,0.003
1.22,0.005,0.002,0.003
1.23,0.005,0.002,0.003
1.24,0.005,0.002,0.003
1.25,0.005,0.002,0.003
1.26,0.004,0.002,0.003
1.27,0.004,0.002,0.003
1.28,0.004,0.002,0.003
1.29,0.004,0.003,0.003
1.3,0.004,0.003,0.003
1.31,0.004,0.003,0.003
1.32,0.003,0.003,0.003
1.33,0.003,0.003,0.003
1.34,0.003,0.003,0.003
1.35,0.003,0.003,0.003
1.36,0.003,0.003,0.003
1.37,0.003,0.004,0.003
1.38,0.002,0.004,0.003
1.39,0.002,0.004,0.003
1.4,0.002,0.004,0.003
1.41,0.002,0.004,0.003
1.42,0.002,0.004,0.003
1.43,0.002,0.004,0.003
1.44,0.002,0.004,0.003
1.45,0.001,0.004,0.003
1.46,0.001,0.004,0.003
1.47,0.001,0.004,0.003
1.48,0.001,0.004,0.003
1.49,0.001,0.004,0.003
1.5,0.001,0.005,0.003
1.51,0.001,0.005,0.003
1.52,0.001,0.005,0.003
1.53,0.001,0.005,0.003
1.54,0.001,0.005,0.003
1.55,0.001,0.005,0.003
1.56,0.001,0.004,0.003
1.57,0.001,0.004,0.003
1.58,0.001,0.004,0.003
1.59,0.001,0.004,0.003
1.6,0.001,0.004,0.003
1.61,0.001,0.004,0.003
1.62,0.001,0.004,0.003
1.63,0.002,0.004,0.003
1.64,0.002,0.004,0.003
1.65,0.002,0.004,0.003
1.66,0.002,0.004,0.003
1.67,0.002,0.004,0.003
1.68,0.002,0.004,0.003
1.69,0.002,0.004,0.003
