TIME,BUS1,BUS2,BUS3,BUS4,BUS5,BUS6,BUS7,BUS8,BUS9
0,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.01,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.02,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.03,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.04,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.05,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.06,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.07,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.08,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.09,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.1,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.11,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.12,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.13,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.14,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.15,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.16,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.17,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.18,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.19,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.2,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.21,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.22,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.23,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.24,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.25,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.26,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.27,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.28,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.29,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.3,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.31,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.32,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.33,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.34,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.35,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.36,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.37,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.38,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.39,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.4,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.41,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.42,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.43,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.44,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.45,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.46,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.47,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
