TIME,BUS1,BUS2,BUS3,BUS4,BUS5,BUS6,BUS7,BUS8,BUS9
-0.01,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
-0.005,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.005,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.01,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.015,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.02,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.025,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.03,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.035,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.04,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.045,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.05,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.055,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.06,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.065,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.07,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.075,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.08,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.085,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.09,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.095,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.1,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.105,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.11,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.115,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.12,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.125,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.13,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.135,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.14,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.145,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.15,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.155,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.16,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.165,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.17,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.175,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.18,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.185,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.19,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.195,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.2,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.205,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.21,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.215,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.22,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.225,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.23,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.235,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.24,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.245,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.25,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.255,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.26,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.265,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.27,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.275,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.28,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.285,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.29,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.295,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.3,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.305,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.31,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.315,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.32,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.325,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.33,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.335,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.34,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.345,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.35,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.355,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.36,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.365,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.37,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.375,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.38,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.385,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.39,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.395,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.4,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.405,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.41,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.415,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.42,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.425,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.43,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.435,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.44,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.445,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.45,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.455,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.46,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.465,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.47,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.475,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.48,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.485,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.49,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.495,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.5,1.05,1.05,1.05,1.021,0.978,0.995,1.032,1.012,1.042
0.5,1.033,1.06,1.049,0.983,0.91,0.968,1.044,1.017,1.038
0.505,1.033,1.06,1.048,0.983,0.909,0.967,1.044,1.017,1.037
0.51,1.035,1.058,1.048,0.984,0.91,0.968,1.043,1.016,1.037
0.515,1.035,1.057,1.048,0.985,0.911,0.968,1.042,1.016,1.037
0.52,1.036,1.057,1.048,0.985,0.911,0.968,1.042,1.015,1.037
0.525,1.037,1.056,1.048,0.986,0.912,0.968,1.041,1.015,1.037
0.53,1.037,1.055,1.048,0.986,0.912,0.968,1.04,1.014,1.036
0.535,1.038,1.055,1.048,0.986,0.912,0.968,1.04,1.014,1.036
0.54,1.038,1.054,1.048,0.987,0.912,0.968,1.04,1.014,1.036
0.545,1.039,1.054,1.048,0.987,0.913,0.968,1.039,1.013,1.036
0.55,1.039,1.053,1.048,0.987,0.913,0.968,1.039,1.013,1.036
0.555,1.04,1.053,1.048,0.987,0.913,0.968,1.038,1.013,1.036
0.56,1.04,1.052,1.047,0.987,0.913,0.968,1.038,1.012,1.035
0.565,1.041,1.052,1.047,0.988,0.913,0.968,1.038,1.012,1.035
0.57,1.041,1.052,1.047,0.988,0.913,0.968,1.037,1.012,1.035
0.575,1.041,1.051,1.047,0.988,0.913,0.967,1.037,1.011,1.035
0.58,1.041,1.051,1.047,0.988,0.913,0.967,1.037,1.011,1.035
0.585,1.042,1.051,1.047,0.988,0.913,0.967,1.036,1.011,1.034
0.59,1.042,1.05,1.047,0.988,0.913,0.966,1.036,1.01,1.034
0.595,1.042,1.05,1.047,0.988,0.913,0.966,1.036,1.01,1.034
0.6,1.042,1.05,1.047,0.987,0.913,0.966,1.035,1.01,1.034
0.605,1.042,1.05,1.047,0.987,0.913,0.965,1.035,1.009,1.033
0.61,1.042,1.05,1.047,0.987,0.913,0.965,1.035,1.009,1.033
0.615,1.043,1.049,1.046,0.987,0.913,0.964,1.034,1.009,1.033
0.62,1.043,1.049,1.046,0.987,0.913,0.964,1.034,1.008,1.032
0.625,1.043,1.049,1.046,0.986,0.912,0.963,1.034,1.008,1.032
0.63,1.043,1.049,1.046,0.986,0.912,0.962,1.033,1.008,1.032
0.635,1.043,1.049,1.046,0.986,0.912,0.962,1.033,1.007,1.031
0.64,1.043,1.048,1.046,0.986,0.911,0.961,1.033,1.007,1.031
0.645,1.043,1.048,1.046,0.985,0.911,0.96,1.033,1.007,1.031
0.65,1.043,1.048,1.046,0.985,0.911,0.96,1.032,1.006,1.03
0.655,1.043,1.048,1.045,0.984,0.91,0.959,1.032,1.006,1.03
0.66,1.043,1.048,1.045,0.984,0.91,0.958,1.032,1.005,1.029
0.665,1.042,1.048,1.045,0.984,0.91,0.957,1.031,1.005,1.029
0.67,1.042,1.048,1.045,0.983,0.909,0.957,1.031,1.004,1.028
0.675,1.042,1.047,1.045,0.983,0.909,0.956,1.031,1.004,1.028
0.68,1.042,1.047,1.045,0.982,0.909,0.955,1.03,1.004,1.028
0.685,1.042,1.047,1.045,0.982,0.908,0.954,1.03,1.003,1.027
0.69,1.042,1.047,1.044,0.981,0.908,0.953,1.03,1.003,1.027
0.695,1.042,1.047,1.044,0.981,0.907,0.952,1.029,1.002,1.026
0.7,1.042,1.047,1.044,0.98,0.907,0.951,1.029,1.002,1.026
0.705,1.042,1.047,1.044,0.98,0.906,0.951,1.029,1.001,1.025
0.71,1.042,1.047,1.044,0.98,0.906,0.95,1.029,1.001,1.025
0.715,1.042,1.047,1.044,0.979,0.905,0.949,1.028,1.001,1.024
0.72,1.041,1.047,1.044,0.979,0.905,0.948,1.028,1,1.024
0.725,1.041,1.047,1.043,0.978,0.905,0.947,1.028,1,1.023
0.73,1.041,1.046,1.043,0.978,0.904,0.946,1.027,0.999,1.023
0.735,1.041,1.046,1.043,0.977,0.904,0.945,1.027,0.999,1.023
0.74,1.041,1.046,1.043,0.977,0.903,0.944,1.027,0.998,1.022
0.745,1.041,1.046,1.043,0.976,0.903,0.944,1.027,0.998,1.022
0.75,1.041,1.046,1.043,0.976,0.902,0.943,1.026,0.998,1.021
0.755,1.041,1.046,1.043,0.975,0.902,0.942,1.026,0.997,1.021
0.76,1.041,1.046,1.043,0.975,0.902,0.941,1.026,0.997,1.02
0.765,1.041,1.046,1.043,0.975,0.901,0.94,1.026,0.996,1.02
0.77,1.041,1.046,1.043,0.974,0.901,0.94,1.025,0.996,1.02
0.775,1.041,1.046,1.043,0.974,0.901,0.939,1.025,0.996,1.019
0.78,1.041,1.046,1.043,0.973,0.9,0.938,1.025,0.995,1.019
0.785,1.041,1.046,1.043,0.973,0.9,0.938,1.025,0.995,1.019
0.79,1.041,1.046,1.043,0.973,0.9,0.937,1.025,0.995,1.018
0.795,1.041,1.046,1.043,0.972,0.899,0.936,1.024,0.994,1.018
0.8,1.041,1.046,1.043,0.972,0.899,0.936,1.024,0.994,1.018
0.805,1.041,1.046,1.043,0.972,0.899,0.935,1.024,0.994,1.018
0.81,1.041,1.046,1.043,0.972,0.899,0.935,1.024,0.994,1.017
0.815,1.041,1.047,1.043,0.972,0.898,0.934,1.024,0.993,1.017
0.82,1.041,1.047,1.043,0.971,0.898,0.934,1.024,0.993,1.017
0.825,1.041,1.047,1.043,0.971,0.898,0.933,1.024,0.993,1.017
0.83,1.041,1.047,1.043,0.971,0.898,0.933,1.024,0.993,1.017
0.835,1.041,1.047,1.043,0.971,0.898,0.933,1.024,0.993,1.017
0.84,1.041,1.047,1.044,0.971,0.898,0.932,1.024,0.993,1.017
0.845,1.041,1.047,1.044,0.971,0.898,0.932,1.024,0.993,1.016
0.85,1.042,1.047,1.044,0.971,0.898,0.932,1.024,0.993,1.016
0.855,1.042,1.047,1.044,0.971,0.898,0.932,1.024,0.993,1.016
0.86,1.042,1.047,1.044,0.971,0.898,0.932,1.024,0.993,1.016
0.865,1.042,1.048,1.044,0.971,0.898,0.932,1.024,0.993,1.017
0.87,1.042,1.048,1.044,0.971,0.898,0.931,1.024,0.993,1.017
0.875,1.042,1.048,1.045,0.971,0.898,0.931,1.024,0.993,1.017
0.88,1.043,1.048,1.045,0.971,0.898,0.932,1.024,0.993,1.017
0.885,1.043,1.048,1.045,0.971,0.898,0.932,1.024,0.993,1.017
0.89,1.043,1.048,1.045,0.971,0.898,0.932,1.024,0.993,1.017
0.895,1.043,1.049,1.046,0.972,0.899,0.932,1.024,0.993,1.017
0.9,1.044,1.049,1.046,0.972,0.899,0.932,1.025,0.993,1.017
0.905,1.044,1.049,1.046,0.972,0.899,0.932,1.025,0.993,1.018
0.91,1.044,1.049,1.046,0.972,0.899,0.933,1.025,0.994,1.018
0.915,1.044,1.049,1.047,0.973,0.899,0.933,1.025,0.994,1.018
0.92,1.045,1.049,1.047,0.973,0.9,0.933,1.025,0.994,1.018
0.925,1.045,1.05,1.047,0.973,0.9,0.934,1.026,0.994,1.019
0.93,1.045,1.05,1.047,0.973,0.9,0.934,1.026,0.995,1.019
0.935,1.045,1.05,1.048,0.974,0.901,0.934,1.026,0.995,1.019
0.94,1.046,1.05,1.048,0.974,0.901,0.935,1.026,0.995,1.02
0.945,1.046,1.05,1.048,0.975,0.901,0.935,1.027,0.995,1.02
0.95,1.046,1.051,1.049,0.975,0.902,0.936,1.027,0.996,1.021
0.955,1.046,1.051,1.049,0.975,0.902,0.936,1.027,0.996,1.021
0.96,1.047,1.051,1.049,0.976,0.902,0.937,1.027,0.997,1.021
0.965,1.047,1.051,1.049,0.976,0.903,0.938,1.028,0.997,1.022
0.97,1.047,1.051,1.05,0.977,0.903,0.938,1.028,0.997,1.022
0.975,1.047,1.052,1.05,0.977,0.904,0.939,1.028,0.998,1.023
0.98,1.048,1.052,1.05,0.978,0.904,0.94,1.029,0.998,1.023
0.985,1.048,1.052,1.051,0.978,0.904,0.94,1.029,0.999,1.024
0.99,1.048,1.052,1.051,0.978,0.905,0.941,1.029,0.999,1.024
0.995,1.049,1.052,1.051,0.979,0.905,0.942,1.03,0.999,1.025
1,1.049,1.052,1.051,0.979,0.906,0.942,1.03,1,1.025
1.005,1.049,1.053,1.052,0.98,0.906,0.943,1.03,1,1.026
1.01,1.049,1.053,1.052,0.98,0.907,0.944,1.031,1.001,1.026
1.015,1.05,1.053,1.052,0.981,0.907,0.945,1.031,1.001,1.026
1.02,1.05,1.053,1.052,0.981,0.908,0.945,1.031,1.002,1.027
1.025,1.05,1.053,1.053,0.982,0.908,0.946,1.032,1.002,1.027
1.03,1.05,1.053,1.053,0.982,0.909,0.947,1.032,1.002,1.028
1.035,1.05,1.053,1.053,0.983,0.909,0.948,1.032,1.003,1.028
1.04,1.051,1.054,1.053,0.983,0.909,0.948,1.033,1.003,1.029
1.045,1.051,1.054,1.053,0.984,0.91,0.949,1.033,1.004,1.029
1.05,1.051,1.054,1.054,0.984,0.91,0.95,1.033,1.004,1.03
1.055,1.051,1.054,1.054,0.985,0.911,0.951,1.033,1.005,1.03
